,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.7245507479883082,0.7245507479883082,0.7418287745672177,0.747776473639191,0.8004313246686978,"[[[0.11817736178636551, 0.04784851893782616, 0.4690181016921997], [0.16881327331066132, 0.31906622648239136, 0.23808987438678741], [0.5888395309448242, 0.5752126574516296, 0.6966692805290222]], [[0.11817736178636551, 0.04784851893782616, 0.4690181016921997], [0.16881327331066132, 0.31906622648239136, 0.23808987438678741], [0.5888395309448242, 0.5752126574516296, 0.6966692805290222]], [[0.11817736178636551, 0.04784851893782616, 0.4690181016921997], [0.16881327331066132, 0.31906622648239136, 0.23808987438678741], [0.5888395309448242, 0.5752126574516296, 0.6966692805290222]]]","[[[0.39484426379203796, 0.6506989598274231, 0.04585401341319084], [0.45897066593170166, 0.44847267866134644, 0.42725232243537903], [0.09591687470674515, 0.29697543382644653, 0.1398855447769165]], [[0.06574248522520065, 0.6767755746841431, 0.09612325578927994], [0.8338496685028076, 0.48957112431526184, 0.7364428043365479], [0.05135968327522278, 0.6143794655799866, 0.4970184564590454]], [[0.7537796497344971, 0.2575719654560089, 0.39668402075767517], [0.31335023045539856, 0.36906808614730835, 0.9917776584625244], [0.8277643322944641, 0.9880692958831787, 0.2708355188369751]]]",False,False,False,False,True
0,1.5420988116039132,1.628913475844299,1.58080192566254,1.5989350775772289,1.6802704855741166,"[[[0.5664665699005127, 0.3512336313724518, 0.07490785419940948], [0.21705816686153412, 0.7887694239616394, 0.6207886934280396], [0.0358458086848259, 0.34182196855545044, 0.8107389211654663]], [[0.5664665699005127, 0.3512336313724518, 0.07490785419940948], [0.21705816686153412, 0.7887694239616394, 0.6207886934280396], [0.0358458086848259, 0.34182196855545044, 0.8107389211654663]], [[0.5664665699005127, 0.3512336313724518, 0.07490785419940948], [0.21705816686153412, 0.7887694239616394, 0.6207886934280396], [0.0358458086848259, 0.34182196855545044, 0.8107389211654663]]]","[[[0.569778323173523, 0.07086914777755737, 0.8528746366500854], [0.6500445008277893, 0.1972876489162445, 0.32476016879081726], [0.8373968601226807, 0.24962572753429413, 0.928396463394165]], [[0.6573618054389954, 0.2092919945716858, 0.5742006897926331], [0.22541344165802002, 0.7544410228729248, 0.8740476369857788], [0.993690013885498, 0.8488447070121765, 0.5274587273597717]], [[0.36527979373931885, 0.8361216187477112, 0.3439076244831085], [0.2521835267543793, 0.013440357521176338, 0.8864665031433105], [0.2584601938724518, 0.5220415592193604, 0.7665078639984131]]]",True,True,True,False,True
0,2.236562347040116,2.4506918534122066,2.3136812440832033,2.3258846059772567,2.434814289472291,"[[[0.9394344091415405, 0.9379998445510864, 0.9374236464500427], [0.1899048537015915, 0.9142588376998901, 0.1401265412569046], [0.6256448030471802, 0.9255096912384033, 0.6795851588249207]], [[0.9394344091415405, 0.9379998445510864, 0.9374236464500427], [0.1899048537015915, 0.9142588376998901, 0.1401265412569046], [0.6256448030471802, 0.9255096912384033, 0.6795851588249207]], [[0.9394344091415405, 0.9379998445510864, 0.9374236464500427], [0.1899048537015915, 0.9142588376998901, 0.1401265412569046], [0.6256448030471802, 0.9255096912384033, 0.6795851588249207]]]","[[[0.7778172492980957, 0.8983516693115234, 0.4667045772075653], [0.958838164806366, 0.4044381380081177, 0.30559444427490234], [0.1737278252840042, 0.8673748970031738, 0.7383878231048584]], [[0.28155428171157837, 0.32848796248435974, 0.041962090879678726], [0.11423434317111969, 0.45601874589920044, 0.7153497338294983], [0.1597777158021927, 0.8398788571357727, 0.7178749442100525]], [[0.2769649624824524, 0.12853841483592987, 0.5253364443778992], [0.7108291983604431, 0.6595346927642822, 0.8486540913581848], [0.9430373311042786, 0.05295920744538307, 0.3935592472553253]]]",True,True,True,True,True
0,2.9784784106718876,3.3174346985907017,3.104440285833448,3.124112788209827,3.2784685646305194,"[[[0.9853959679603577, 0.3869754374027252, 0.44915667176246643], [0.382304310798645, 0.5737107396125793, 0.5423347353935242], [0.4371396601200104, 0.773432195186615, 0.7914082407951355]], [[0.9853959679603577, 0.3869754374027252, 0.44915667176246643], [0.382304310798645, 0.5737107396125793, 0.5423347353935242], [0.4371396601200104, 0.773432195186615, 0.7914082407951355]], [[0.9853959679603577, 0.3869754374027252, 0.44915667176246643], [0.382304310798645, 0.5737107396125793, 0.5423347353935242], [0.4371396601200104, 0.773432195186615, 0.7914082407951355]]]","[[[0.6977909207344055, 0.07725483179092407, 0.26173752546310425], [0.15513435006141663, 0.36261114478111267, 0.7400954365730286], [0.2842732071876526, 0.4496413469314575, 0.5575076937675476]], [[0.35792282223701477, 0.22916783392429352, 0.010960067622363567], [0.5318131446838379, 0.5567742586135864, 0.6379901170730591], [0.14198710024356842, 0.7400325536727905, 0.5964938998222351]], [[0.3226926028728485, 0.38287582993507385, 0.8933169841766357], [0.43861863017082214, 0.06147252023220062, 0.03127286955714226], [0.6596285700798035, 0.46499231457710266, 0.2870040237903595]]]",True,True,True,True,True
0,3.6632607835401725,4.134365965509593,3.823309390113827,3.8558975163603137,4.033343736064654,"[[[0.8063138723373413, 0.41233423352241516, 0.7655653953552246], [0.13095636665821075, 0.6469044089317322, 0.7788717746734619], [0.5418705940246582, 0.26080507040023804, 0.17632459104061127]], [[0.8063138723373413, 0.41233423352241516, 0.7655653953552246], [0.13095636665821075, 0.6469044089317322, 0.7788717746734619], [0.5418705940246582, 0.26080507040023804, 0.17632459104061127]], [[0.8063138723373413, 0.41233423352241516, 0.7655653953552246], [0.13095636665821075, 0.6469044089317322, 0.7788717746734619], [0.5418705940246582, 0.26080507040023804, 0.17632459104061127]]]","[[[0.13618454337120056, 0.8464641571044922, 0.7008724212646484], [0.3888106048107147, 0.6085622906684875, 0.6332454681396484], [0.4414372742176056, 0.007753006182610989, 0.41585707664489746]], [[0.9147423505783081, 0.7030853629112244, 0.3638056814670563], [0.22135576605796814, 0.8314118981361389, 0.8593524694442749], [0.6851884722709656, 0.1866331398487091, 0.03481609746813774]], [[0.5439349412918091, 0.13248135149478912, 0.9124958515167236], [0.6674627065658569, 0.13895584642887115, 0.32639822363853455], [0.27648115158081055, 0.07906154543161392, 0.9528709650039673]]]",True,True,True,True,True
