,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.7849395893488865,0.7849395893488865,0.7849395893488865,0.7849395744895655,0.7849395893488865,"[[[0.47794896364212036, 0.3331596553325653, 0.9993877410888672], [0.6267669200897217, 0.3703839182853699, 0.19382794201374054], [0.48102161288261414, 0.6648649573326111, 0.017921268939971924]]]","[[[0.3959871828556061, 0.7779266834259033, 0.9310930967330933], [0.5639055967330933, 0.6685857772827148, 0.043908774852752686], [0.19392357766628265, 0.26767295598983765, 0.17460693418979645]]]",False,False,True,False,False
0,1.6226913910933487,1.6531774532771704,1.6226913910933487,1.6226912780055271,1.6226913910933487,"[[[0.09290632605552673, 0.9510719776153564, 0.20355986058712006], [0.6186245083808899, 0.6695610880851746, 0.27286025881767273], [0.5949600338935852, 0.31187084317207336, 0.9163480997085571]]]","[[[0.8001195192337036, 0.721555769443512, 0.14883622527122498], [0.8709046840667725, 0.10542585700750351, 0.24990707635879517], [0.19681352376937866, 0.9494171142578125, 0.3360448479652405]]]",True,True,True,True,False
0,2.413746672439407,2.552020999994012,2.413746672439407,2.413746422779553,2.413746672439407,"[[[0.1679602712392807, 0.15927879512310028, 0.8633252382278442], [0.5284644365310669, 0.7996496558189392, 0.9953107237815857], [0.39477813243865967, 0.47785162925720215, 0.11517541855573654]]]","[[[0.08189491927623749, 0.6717398166656494, 0.26696768403053284], [0.06070774421095848, 0.23486730456352234, 0.6617089509963989], [0.4446743130683899, 0.642391562461853, 0.002078970428556204]]]",True,True,True,True,False
0,3.2824484070294613,3.4807062515856098,3.2824484070294613,3.2824483328988867,3.2824484070294613,"[[[0.2751249372959137, 0.9023430943489075, 0.06831012666225433], [0.012535842135548592, 0.9641413688659668, 0.9895593523979187], [0.8031108975410461, 0.5992521643638611, 0.28183746337890625]]]","[[[0.5156674385070801, 0.9900023937225342, 0.03889688476920128], [0.26789113879203796, 0.21121791005134583, 0.7188819646835327], [0.15806159377098083, 0.8889793157577515, 0.21999485790729523]]]",True,True,True,True,False
0,4.151181068406728,4.323146201526478,4.151181068406728,4.151180554090894,4.151181068406728,"[[[0.006190548650920391, 0.48914119601249695, 0.8144493103027344], [0.792084276676178, 0.24880698323249817, 0.14691783487796783], [0.9151480793952942, 0.7312042713165283, 0.7296023964881897]]]","[[[0.9428663849830627, 0.10940181463956833, 0.6598864197731018], [0.008241253904998302, 0.8262988924980164, 0.6041579246520996], [0.01929759792983532, 0.001816888339817524, 0.9871435165405273]]]",True,True,True,True,False
0,5.019761827462545,5.237809292428834,5.019761827462545,5.019761665820388,5.019761827462545,"[[[0.03133028745651245, 0.40110793709754944, 0.1849818080663681], [0.9924175143241882, 0.1120360940694809, 0.9803175330162048], [0.3311605155467987, 0.7718908786773682, 0.24074481427669525]]]","[[[0.2384255826473236, 0.5984087586402893, 0.13668771088123322], [0.27052170038223267, 0.33217287063598633, 0.9685179591178894], [0.7463829517364502, 0.8531891703605652, 0.9033594131469727]]]",True,True,True,True,False
0,5.549409952609085,5.947352747297114,5.549409952609085,5.549409824410302,5.549409952609085,"[[[0.9687132835388184, 0.8119633197784424, 0.016253245994448662], [0.7479791641235352, 0.7979777455329895, 0.6153296828269958], [0.12220771610736847, 0.30003830790519714, 0.7577813267707825]]]","[[[0.804483950138092, 0.33368128538131714, 0.9187297224998474], [0.28815770149230957, 0.14260604977607727, 0.23009267449378967], [0.19359585642814636, 0.5993106961250305, 0.011219842359423637]]]",True,True,True,True,False
0,5.976911051987667,6.483835688963163,5.976911051987667,5.976910929910291,5.976911051987667,"[[[0.26481884717941284, 0.5857619047164917, 0.09367260336875916], [0.4832889437675476, 0.6681113839149475, 0.49700233340263367], [0.010749947279691696, 0.3182539939880371, 0.4676177501678467]]]","[[[0.6065195202827454, 0.8967162370681763, 0.05841450020670891], [0.6792566180229187, 0.29390883445739746, 0.4745163321495056], [0.660404622554779, 0.03374573215842247, 0.2885631024837494]]]",True,True,True,True,False
0,7.392432811676153,7.845454782412852,7.392432811676153,7.392432286109384,7.392432811676153,"[[[0.22983883321285248, 0.5491486191749573, 0.019499128684401512], [0.6175771951675415, 0.5673750042915344, 0.38348960876464844], [0.3106244206428528, 0.9216382503509521, 0.2638927102088928]]]","[[[0.8746703863143921, 0.44410496950149536, 0.7871385216712952], [0.12952403724193573, 0.38290807604789734, 0.4300973415374756], [0.8148097395896912, 0.5189113020896912, 0.8404242992401123]]]",True,True,True,True,False
