,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.5,0.5,0.5,0.4999999784803938,0.6666666666666667,"[[[1.0, 0.0], [0.0, 1.0]], [[1.0, 0.0], [0.0, 1.0]]]","[[[0.0, 1.0], [0.5, 0.0]], [[0.0, 0.5], [1.0, 0.0]]]",False,False,True,False,True
0,1.0,1.125,1.0,0.9999999569607876,1.3333333333333335,"[[[1.0, 0.0], [0.0, 1.0]], [[1.0, 0.0], [0.0, 1.0]]]","[[[0.0, 1.0], [0.5, 0.0]], [[0.0, 0.5], [1.0, 0.0]]]",True,True,True,False,True
0,1.5,1.7142857142857149,1.5,1.4999999354411813,2.0,"[[[1.0, 0.0], [0.0, 1.0]], [[1.0, 0.0], [0.0, 1.0]]]","[[[0.0, 1.0], [0.5, 0.0]], [[0.0, 0.5], [1.0, 0.0]]]",True,True,True,False,True
0,2.0,2.333333333333333,2.0,1.9999999139215752,2.666666666666667,"[[[1.0, 0.0], [0.0, 1.0]], [[1.0, 0.0], [0.0, 1.0]]]","[[[0.0, 1.0], [0.5, 0.0]], [[0.0, 0.5], [1.0, 0.0]]]",True,True,True,False,True
0,2.5,2.941176470588238,2.5,2.499999892401969,3.333333333333334,"[[[1.0, 0.0], [0.0, 1.0]], [[1.0, 0.0], [0.0, 1.0]]]","[[[0.0, 1.0], [0.5, 0.0]], [[0.0, 0.5], [1.0, 0.0]]]",True,True,True,False,True
