,Bayesian_contract,Dynamic_contract,Deterministic_menu,Randomized_menu,r,P,c,DC > BC,DC > DM,DC > RM,Perfect EQ
0,5.022380652752921,5.022380652752922,6.788904259345856,6.791016157712602,[3 4],"[[[0.26239674 0.73760326]
  [0.32232119 0.67767881]]

 [[0.94196037 0.05803963]
  [0.62580647 0.37419353]]]","[[1.24586775 1.22589294]
 [0.76450991 0.84354838]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 2.269690923255928), ('x1,0,0', 0.5717363376189106), ('x1,0,1', 0.9050696709531139), ('x1,1,0', 0.7442447198698822), ('x1,1,1', 0.994244719870221), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,2.259418961659411,2.2594189616594824,2.7594189616594704,2.7594189616594704,[1 2],"[[[0.58938279 0.41061721]
  [0.75279633 0.24720367]]

 [[0.6739212  0.3260788 ]
  [0.39805859 0.60194141]]]","[[0.3526543  0.31180092]
 [0.3315197  0.40048535]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 1.080645629837484), ('x1,0,0', 0.008214343256660941), ('x1,0,1', 0.6252429651168635), ('x1,1,0', 0.0), ('x1,1,1', 0.24999999999977945), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,3.9136463817554636,4.3919115113842535,5.921050311719351,5.92105031171935,[2 5],"[[[0.80540489 0.19459511]
  [0.42118523 0.57881477]]

 [[0.36348449 0.63651551]
  [0.61828962 0.38171038]]]","[[0.86126178 1.24548144]
 [1.95477327 1.57256557]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 3.4895401304209597), ('x1,0,0', 0.0), ('x1,0,1', 2.652567112826261), ('x1,1,0', 0.0), ('x1,1,1', 1.0000000000002887), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.10764927360698691), ('a1', 0.0)]"
0,5.277148893152671,5.294762550537937,8.215354340015459,8.215354340015459,[2 7],"[[[0.58323177 0.41676823]
  [0.28219352 0.71780648]]

 [[0.56396498 0.43603502]
  [0.57369736 0.42630264]]]","[[2.04192057 2.79451619]
 [1.3933917  1.37717106]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 5.286266309553709), ('x1,0,0', 0.0), ('x1,0,1', 2.4192098951252916), ('x1,1,0', 0.0), ('x1,1,1', 2.4999999999997358), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.5730740588837875)]"
0,2.2646731452611784,2.3981177589381177,3.181947635338145,3.216443079131048,[1 3],"[[[0.46232387 0.53767613]
  [0.61727295 0.38272705]]

 [[0.81428939 0.18571061]
  [0.35572849 0.64427151]]]","[[0.69178409 0.5884847 ]
 [0.68571061 1.14427151]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 2.389098546698042), ('x1,0,0', 0.0), ('x1,0,1', 0.6666666666673613), ('x1,1,0', 0.0), ('x1,1,1', 1.1630421110639102), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.25944383863896514), ('a1', 0.0)]"
0,4.6648984410318555,4.664898441031856,8.310527033145137,8.310527033145137,[4 5],"[[[0.65928835 0.34071165]
  [0.90818126 0.09181874]]

 [[0.71965758 0.28034242]
  [0.84874728 0.15125272]]]","[[2.17035582 2.04590937]
 [1.42678081 1.38375091]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 12.2401327516932), ('x1,0,0', 0.0), ('x1,0,1', 0.4999999999997848), ('x1,1,0', 0.0), ('x1,1,1', 0.0), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.7180379896864726)]"
0,4.666474033615669,4.944516795156193,7.650071044627248,7.650071044627248,[0 9],"[[[0.47392525 0.52607475]
  [0.46471132 0.53528868]]

 [[0.49829445 0.50170555]
  [0.67606686 0.32393314]]]","[[2.36733638 2.40879904]
 [1.1288375  0.72884957]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 5.558966373592246), ('x1,0,0', 0.0), ('x1,0,1', 2.2499999999996727), ('x1,1,0', 0.0), ('x1,1,1', 3.4224863826452823), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 1.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 1.6601268070342936)]"
0,5.876149674746756,5.876149674746755,7.193571740339145,7.193571740339145,[3 4],"[[[0.54961899 0.45038101]
  [0.34844131 0.65155869]]

 [[0.51084771 0.48915229]
  [0.0601297  0.9398703 ]]]","[[0.6900762  0.73031174]
 [0.87228807 0.98496757]]",False,False,False,"[('x0,,0', 0.3096242304545127), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 0.0), ('x1,1,0', 0.0), ('x1,1,1', 2.0761561879531687), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', 0.0), ('y1_1_1', 1.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,9.776229540017326,9.776229540017326,10.77622954001734,10.776229540017292,[2 9],"[[[0.30454717 0.69545283]
  [0.9634742  0.0365258 ]]

 [[0.41458892 0.58541108]
  [0.40474244 0.59525756]]]","[[1.71704245 0.56392015]
 [1.52446939 1.54170073]]",False,False,False,"[('x0,,0', 0.0), ('x0,,1', 3.1879120518179547), ('x1,0,0', 0.0), ('x1,0,1', 1.7500000000001177), ('x1,1,0', 0.0), ('x1,1,1', 1.992033005414579), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,7.771063439115924,7.771063439115926,10.089374781335916,10.089374781335916,[2 9],"[[[0.44335175 0.55664825]
  [0.31297257 0.68702743]]

 [[0.59322812 0.40677188]
  [0.68673757 0.31326243]]]","[[1.96551258 2.26973066]
 [1.61580106 1.39761235]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 0.0), ('x1,0,0', 1.7748852098079995), ('x1,0,1', 5.356049425262484), ('x1,1,0', 0.0), ('x1,1,1', 6.607394627120965), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.0)]"
