,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM,DySS EQ,Perfect EQ
0,6.0,6.199999999999999,6.0,5.999999983466161,6.0,"[[[2.0, 6.0], [2.0, 0.0]]]","[[[6.0, 1.0], [2.0, 7.0]]]",True,True,True,True,False,"[('x0_0,', 0.7), ('x0_1,', 0.30000000000000004), ('x1_0,0', 0.5000000000000002), ('x1_1,0', 0.4999999999999998), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', 1.0), ('y0_1-1', -0.0), ('a0', 8.8)]","[[('x_0', 0.5), ('x_1', 0.5)]]"
0,10.0,10.0,10.0,10.0,10.0,"[[[4.0, 2.0], [4.0, 5.0]]]","[[[4.0, 7.0], [2.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 10.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[3.0, 3.0], [6.0, 6.0]]]","[[[0.0, 0.0], [1.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 10.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,14.0,14.0,14.0,13.999999983365127,14.0,"[[[7.0, 4.0], [6.0, 5.0]]]","[[[1.0, 0.0], [3.0, 6.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 2.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,5.0,5.5,5.0,5.000000040459561,5.0,"[[[3.0, 0.0], [2.0, 4.0]]]","[[[2.0, 3.0], [1.0, 0.0]]]",True,True,True,True,False,"[('x0_0,', 0.25), ('x0_1,', 0.75), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.5), ('x1_1,1', 0.5), ('y0_0-0', -0.0), ('y0_1-0', 0.0), ('y0_0-1', 1.0), ('y0_1-1', -0.0), ('a0', 2.25)]","[[('x_0', 0.5), ('x_1', 0.5)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[7.0, 4.0], [4.0, 3.0]]]","[[[0.0, 4.0], [2.0, 4.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 8.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 3.0], [1.0, 7.0]]]","[[[3.0, 2.0], [6.0, 0.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.6666666666666666), ('x1_1,1', 0.33333333333333337), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 6.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,6.666666666666667,6.666666666666666,6.666666666666666,6.666666650157797,6.666666666666666,"[[[4.0, 0.0], [2.0, 0.0]]]","[[[2.0, 4.0], [4.0, 0.0]]]",False,False,True,False,False,"[('x0_0,', 0.6666666666666666), ('x0_1,', 0.33333333333333337), ('x1_0,0', 0.6666666666666665), ('x1_1,0', 0.3333333333333335), ('x1_0,1', 0.6666666666666666), ('x1_1,1', 0.33333333333333337), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 5.333333333333333)]","[[('x_0', 0.6666666666666666), ('x_1', 0.3333333333333333)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[6.0, 4.0], [5.0, 2.0]]]","[[[7.0, 4.0], [6.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,6.0,9.0,6.0,6.0,6.0,"[[[4.0, 1.0], [7.0, 3.0]]]","[[[2.0, 6.0], [3.0, 4.0]]]",True,True,True,True,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.5), ('x1_1,0', 0.5), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 1.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 8.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[1.0, 2.0], [4.0, 4.0]]]","[[[4.0, 4.0], [4.0, 7.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 14.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
