,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.7369193486562843,0.7369193486562843,0.7558559457360019,0.7629732383868881,0.7998217258634884,"[[[0.4577692747116089, 0.9013322591781616, 0.02756328135728836], [0.8694625496864319, 0.2920534312725067, 0.5359299778938293], [0.32827723026275635, 0.056943003088235855, 0.8708879351615906]], [[0.4577692747116089, 0.9013322591781616, 0.02756328135728836], [0.8694625496864319, 0.2920534312725067, 0.5359299778938293], [0.32827723026275635, 0.056943003088235855, 0.8708879351615906]]]","[[[0.14501544833183289, 0.4392123818397522, 0.24618692696094513], [0.6314910650253296, 0.20364171266555786, 0.7026639580726624], [0.3034912049770355, 0.08246985822916031, 0.9377380609512329]], [[0.2126586139202118, 0.31501612067222595, 0.4089062511920929], [0.1058279424905777, 0.9384732842445374, 0.44531020522117615], [0.30808550119400024, 0.6431092619895935, 0.8272507190704346]]]",False,False,False,False,True
0,1.533716168846769,1.615802407924569,1.572974422417965,1.5736683814531014,1.6135570049012256,"[[[0.7986350059509277, 0.5835283398628235, 0.024206575006246567], [0.22500985860824585, 0.32442960143089294, 0.3360176384449005], [0.6192516088485718, 0.3326731324195862, 0.178397074341774]], [[0.7986350059509277, 0.5835283398628235, 0.024206575006246567], [0.22500985860824585, 0.32442960143089294, 0.3360176384449005], [0.6192516088485718, 0.3326731324195862, 0.178397074341774]]]","[[[0.2922329604625702, 0.02255178615450859, 0.5402839183807373], [0.2622095048427582, 0.196314737200737, 0.7323704957962036], [0.049474794417619705, 0.8644063472747803, 0.04918552190065384]], [[0.5348610281944275, 0.8799731731414795, 0.15152959525585175], [0.8711190223693848, 0.025964554399251938, 0.14542530477046967], [0.41825467348098755, 0.7745253443717957, 0.9745593667030334]]]",True,True,True,True,True
0,2.25813095656715,2.4722570922918052,2.3104184071975093,2.3235882404721027,2.4449616418704267,"[[[0.14216072857379913, 0.7322824001312256, 0.8141624331474304], [0.5553131103515625, 0.9534057974815369, 0.1423441618680954], [0.27577126026153564, 0.3501640558242798, 0.16039837896823883]], [[0.14216072857379913, 0.7322824001312256, 0.8141624331474304], [0.5553131103515625, 0.9534057974815369, 0.1423441618680954], [0.27577126026153564, 0.3501640558242798, 0.16039837896823883]]]","[[[0.832040011882782, 0.6598867177963257, 0.5042927861213684], [0.669171154499054, 0.9786186218261719, 0.4413861930370331], [0.6058009266853333, 0.28265514969825745, 0.7818219065666199]], [[0.4566347599029541, 0.7391349673271179, 0.9351639747619629], [0.44688066840171814, 0.9292582273483276, 0.6395122408866882], [0.5726925730705261, 0.6155427694320679, 0.19583384692668915]]]",True,True,True,True,True
0,3.0159714817489043,3.3210684760018356,3.104787152935765,3.1104535253221197,3.205012677861222,"[[[0.8359301090240479, 0.6676391959190369, 0.031192082911729813], [0.08666472136974335, 0.5199723243713379, 0.2678072154521942], [0.7751489877700806, 0.8336663246154785, 0.020316487178206444]], [[0.8359301090240479, 0.6676391959190369, 0.031192082911729813], [0.08666472136974335, 0.5199723243713379, 0.2678072154521942], [0.7751489877700806, 0.8336663246154785, 0.020316487178206444]]]","[[[0.1773565113544464, 0.27661728858947754, 0.29938504099845886], [0.31693050265312195, 0.5882874131202698, 0.7147568464279175], [0.5988683104515076, 0.13888151943683624, 0.9035626649856567]], [[0.9388032555580139, 0.2493000626564026, 0.9174209237098694], [0.38833245635032654, 0.4477381408214569, 0.9121994972229004], [0.21277718245983124, 0.46564754843711853, 0.25463420152664185]]]",True,True,True,True,True
0,3.778841331508583,4.191101178689314,3.8507950960457684,3.866256497743235,3.979542073845144,"[[[0.08755391836166382, 0.6921420097351074, 0.014793066307902336], [0.23396261036396027, 0.21797551214694977, 0.1544211506843567], [0.7005800008773804, 0.8557544350624084, 0.23917928338050842]], [[0.08755391836166382, 0.6921420097351074, 0.014793066307902336], [0.23396261036396027, 0.21797551214694977, 0.1544211506843567], [0.7005800008773804, 0.8557544350624084, 0.23917928338050842]]]","[[[0.7560797929763794, 0.1241893544793129, 0.580693244934082], [0.2521853744983673, 0.49675288796424866, 0.47141024470329285], [0.23647956550121307, 0.7667997479438782, 0.2896287441253662]], [[0.857020914554596, 0.9700855612754822, 0.7671656608581543], [0.38787150382995605, 0.3156140446662903, 0.20124900341033936], [0.43241122364997864, 0.38943758606910706, 0.9451420903205872]]]",True,True,True,True,True
0,4.585113187828405,5.077774522156865,4.667661991298165,4.693007205560255,4.93747224572855,"[[[0.7257115840911865, 0.1669282615184784, 0.6103966236114502], [0.13295212388038635, 0.6320733428001404, 0.2291753739118576], [0.4784156382083893, 0.03280847147107124, 0.1734054833650589]], [[0.7257115840911865, 0.1669282615184784, 0.6103966236114502], [0.13295212388038635, 0.6320733428001404, 0.2291753739118576], [0.4784156382083893, 0.03280847147107124, 0.1734054833650589]]]","[[[0.28230398893356323, 0.47939690947532654, 0.8699296712875366], [0.46175384521484375, 0.4724280834197998, 0.24052897095680237], [0.18013986945152283, 0.1139790341258049, 0.0005014128400944173]], [[0.9807240962982178, 0.6736037731170654, 0.603610098361969], [0.5285387635231018, 0.7458409667015076, 0.7830981016159058], [0.069175124168396, 0.6489735841751099, 0.24592138826847076]]]",True,True,True,True,True
0,5.124352261541728,5.818584910714321,5.249408688515158,5.265210877931842,5.453291508205008,"[[[0.28786733746528625, 0.7883665561676025, 0.8089913129806519], [0.41629278659820557, 0.1031794548034668, 0.7179668545722961], [0.7153351306915283, 0.44308212399482727, 0.19021497666835785]], [[0.28786733746528625, 0.7883665561676025, 0.8089913129806519], [0.41629278659820557, 0.1031794548034668, 0.7179668545722961], [0.7153351306915283, 0.44308212399482727, 0.19021497666835785]]]","[[[0.021352624520659447, 0.6258225440979004, 0.24374182522296906], [0.26279473304748535, 0.6320264935493469, 0.6700782775878906], [0.6671299934387207, 0.8774927854537964, 0.16741569340229034]], [[0.5505831837654114, 0.5924332141876221, 0.1736760437488556], [0.7901058197021484, 0.028223637491464615, 0.8546276092529297], [0.5486956238746643, 0.728634238243103, 0.023025143891572952]]]",True,True,True,True,True
