,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.6894538702593122,0.6894538702593122,0.7033589711426201,0.7034878333039384,0.73783286791112,"[[[0.19602254033088684, 0.1089659109711647], [0.7029492259025574, 0.682533323764801]], [[0.19602254033088684, 0.1089659109711647], [0.7029492259025574, 0.682533323764801]], [[0.19602254033088684, 0.1089659109711647], [0.7029492259025574, 0.682533323764801]]]","[[[0.12685614824295044, 0.46102091670036316], [0.527446985244751, 0.2913702726364136]], [[0.8264145255088806, 0.0002985853934660554], [0.5269011855125427, 0.24595332145690918]], [[0.7022418975830078, 0.2027837038040161], [0.8769725561141968, 0.8579603433609009]]]",False,False,False,False,True
0,1.3508878411064595,1.4011557965036057,1.3584799333334021,1.3606920950519674,1.441234526605908,"[[[0.9862891435623169, 0.30840620398521423], [0.7193828821182251, 0.09061425924301147]], [[0.9862891435623169, 0.30840620398521423], [0.7193828821182251, 0.09061425924301147]], [[0.9862891435623169, 0.30840620398521423], [0.7193828821182251, 0.09061425924301147]]]","[[[0.8394732475280762, 0.01072126068174839], [0.9248536825180054, 0.3141340911388397]], [[0.8883693814277649, 0.08208541572093964], [0.015562469139695168, 0.9466832280158997]], [[0.3881213366985321, 0.6466774940490723], [0.4198456108570099, 0.8997373580932617]]]",True,True,True,False,True
0,2.151408783315898,2.2503911646154244,2.170850850729737,2.171149574003058,2.265844283264367,"[[[0.8672615885734558, 0.5222727656364441], [0.5054923892021179, 0.31202149391174316]], [[0.8672615885734558, 0.5222727656364441], [0.5054923892021179, 0.31202149391174316]], [[0.8672615885734558, 0.5222727656364441], [0.5054923892021179, 0.31202149391174316]]]","[[[0.8007461428642273, 0.2807401120662689], [0.13003379106521606, 0.6593499779701233]], [[0.8095292448997498, 0.26235201954841614], [0.9595679640769958, 0.07268533855676651]], [[0.9345200657844543, 0.688660740852356], [0.5668060183525085, 0.379658579826355]]]",True,True,True,False,True
0,2.590623421915426,2.7672753016576115,2.647205528757323,2.6477127644473724,2.7492014387206667,"[[[0.9647889137268066, 0.10771408677101135], [0.995184600353241, 0.9585580825805664]], [[0.9647889137268066, 0.10771408677101135], [0.995184600353241, 0.9585580825805664]], [[0.9647889137268066, 0.10771408677101135], [0.995184600353241, 0.9585580825805664]]]","[[[0.3132990002632141, 0.16190537810325623], [0.03834369406104088, 0.9394238591194153]], [[0.06259066611528397, 0.18614880740642548], [0.37881577014923096, 0.7708583474159241]], [[0.6500552296638489, 0.23969817161560059], [0.7629353404045105, 0.15421843528747559]]]",True,True,True,True,True
0,3.237867358271838,3.544720228625831,3.2664749686293497,3.267356119366954,3.478855189415349,"[[[0.30250588059425354, 0.707633912563324], [0.06657494604587555, 0.12592658400535583]], [[0.30250588059425354, 0.707633912563324], [0.06657494604587555, 0.12592658400535583]], [[0.30250588059425354, 0.707633912563324], [0.06657494604587555, 0.12592658400535583]]]","[[[0.13443851470947266, 0.6147656440734863], [0.8456732034683228, 0.420436829328537]], [[0.6950199007987976, 0.6516396999359131], [0.7101944088935852, 0.2280271202325821]], [[0.9691129922866821, 0.6242887377738953], [0.9664926528930664, 0.28560468554496765]]]",True,True,True,True,True
0,4.052886251387582,4.297892387851473,4.097921856989936,4.104902922411903,4.25493960634066,"[[[0.22740010917186737, 0.9333049058914185], [0.24699260294437408, 0.4877842962741852]], [[0.22740010917186737, 0.9333049058914185], [0.24699260294437408, 0.4877842962741852]], [[0.22740010917186737, 0.9333049058914185], [0.24699260294437408, 0.4877842962741852]]]","[[[0.6609881520271301, 0.03771981596946716], [0.9482187628746033, 0.1613595187664032]], [[0.535854160785675, 0.6531848311424255], [0.3743916451931, 0.8237122297286987]], [[0.38191094994544983, 0.21172189712524414], [0.456714004278183, 0.46358680725097656]]]",True,True,True,True,True
0,4.458436775181273,4.907749945086443,4.516084949897497,4.516907133550771,4.78707327328906,"[[[0.9290601015090942, 0.6071902513504028], [0.502357006072998, 0.326450377702713]], [[0.9290601015090942, 0.6071902513504028], [0.502357006072998, 0.326450377702713]], [[0.9290601015090942, 0.6071902513504028], [0.502357006072998, 0.326450377702713]]]","[[[0.541160523891449, 0.9737584590911865], [0.66175377368927, 0.04384555295109749]], [[0.8229976296424866, 0.4625173509120941], [0.40213456749916077, 0.21132242679595947]], [[0.14586438238620758, 0.31976306438446045], [0.40088409185409546, 0.3434154987335205]]]",True,True,True,True,True
0,5.4925857888412315,5.933822933723122,5.601170741292569,5.6015172697866715,5.844577294818719,"[[[0.5582073330879211, 0.8551269769668579], [0.5639510750770569, 0.8088966608047485]], [[0.5582073330879211, 0.8551269769668579], [0.5639510750770569, 0.8088966608047485]], [[0.5582073330879211, 0.8551269769668579], [0.5639510750770569, 0.8088966608047485]]]","[[[0.5437703728675842, 0.7212571501731873], [0.04255235567688942, 0.11279968172311783]], [[0.29549646377563477, 0.9277189373970032], [0.8660613894462585, 0.5028145909309387]], [[0.365751713514328, 0.45449957251548767], [0.3615289330482483, 0.5830438137054443]]]",True,True,True,True,True
0,5.671388001553125,6.141341277304827,5.731587805313642,5.741771901674149,6.14590610569359,"[[[0.6152713894844055, 0.278408020734787], [0.6883450150489807, 0.7078193426132202]], [[0.6152713894844055, 0.278408020734787], [0.6883450150489807, 0.7078193426132202]], [[0.6152713894844055, 0.278408020734787], [0.6883450150489807, 0.7078193426132202]]]","[[[0.1920803338289261, 0.8002654910087585], [0.09674546867609024, 0.027784353122115135]], [[0.8053944706916809, 0.8331011533737183], [0.11195465922355652, 0.8710567355155945]], [[0.11918991804122925, 0.9365057349205017], [0.2790018916130066, 0.5973363518714905]]]",True,True,True,False,True
